SiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,Mineral
61.73,6.81,5.0,4.2,6.58,6.58,2.78,2.09,Chlorite
31.28,21.0,13.41,2.78,10.17,2.43,3.64,2.56,Mica
57.09,14.11,8.96,8.53,6.21,1.21,1.7,2.22,Mica
53.94,8.06,10.34,8.77,6.58,3.98,1.32,2.91,Quartz
49.76,16.52,4.6,14.28,9.71,2.63,3.67,0.47,Syenite
54.62,14.21,11.68,5.27,2.01,5.51,2.64,0.41,Quartz
68.93,15.12,4.58,7.34,6.76,4.77,4.18,0.97,Amphibole
47.63,12.55,8.85,10.38,6.4,7.98,4.09,2.05,Andesite
37.51,24.51,1.2,6.96,1.29,5.8,2.87,0.23,Marble
64.02,22.75,12.26,9.42,6.55,5.96,3.76,0.22,Pyroxene
38.93,16.74,10.6,8.57,9.36,6.79,3.58,1.36,Peridotite
67.9,20.07,3.57,12.55,8.02,5.93,3.86,0.45,Feldspar
49.6,15.4,6.78,1.36,9.13,1.04,2.57,1.16,Feldspar
49.18,23.56,13.43,14.3,11.7,2.24,0.96,1.99,Mica
35.36,14.94,11.71,9.87,3.39,5.47,2.9,0.85,Peridotite
63.56,7.97,5.06,6.51,3.21,6.27,4.88,0.22,Feldspar
45.75,9.52,11.3,5.4,11.0,0.87,2.26,1.41,Syenite
62.18,6.43,9.97,9.39,11.72,1.09,3.32,1.52,Chlorite
78.04,18.38,9.87,9.09,6.98,6.02,1.69,2.14,Peridotite
47.39,13.45,10.02,5.89,11.65,5.99,0.95,2.42,Marble
45.39,18.95,10.43,1.27,10.86,3.2,5.0,2.76,Amphibolite
38.28,20.97,10.88,10.91,2.89,6.06,3.83,2.33,Amphibolite
43.22,19.42,12.44,3.66,4.55,6.64,3.7,2.9,Syenite
56.27,24.11,8.32,2.22,10.77,7.45,3.46,0.54,Talc
75.23,5.39,14.48,6.06,1.19,2.01,1.05,2.42,Amphibole
44.73,24.49,7.73,14.71,6.44,3.14,3.56,0.71,Amphibolite
42.76,8.32,4.68,4.4,5.76,2.88,4.23,1.7,Granite
35.07,7.03,1.32,6.49,4.74,7.6,4.46,2.3,Mica
50.46,8.61,5.81,5.35,11.64,6.47,2.94,2.89,Chlorite
73.47,17.74,1.36,1.81,2.62,2.77,2.9,1.52,Pyroxene
58.49,10.06,13.81,6.1,1.21,7.79,1.56,2.13,Amphibole
76.56,19.22,12.36,12.49,4.92,1.56,4.92,0.47,Olivine
51.7,8.87,5.7,8.85,7.67,4.76,1.18,2.29,Peridotite
70.48,5.69,12.51,13.11,4.55,4.91,2.0,2.68,Pyroxene
66.03,23.04,4.71,14.91,10.53,5.19,1.08,1.21,Andesite
31.37,23.67,9.71,7.05,3.07,5.44,4.88,0.46,Serpentine
73.86,13.91,11.14,14.78,3.64,7.98,1.75,0.53,Rhyolite
66.7,19.15,12.81,11.93,6.32,1.85,2.2,2.16,Talc
70.91,20.71,9.45,5.69,2.21,1.03,2.34,2.27,Granite
31.86,16.58,3.68,1.69,5.31,5.81,2.07,1.63,Amphibolite
58.73,13.99,8.63,11.19,5.84,6.41,0.97,1.16,Amphibole
39.5,15.83,6.58,14.17,1.34,4.14,3.6,2.37,Talc
32.52,6.81,9.61,9.57,3.94,6.77,1.9,1.88,Andesite
40.54,14.39,9.56,11.08,2.63,3.1,3.9,2.9,Pyroxene
32.27,8.42,11.46,11.36,1.89,4.98,4.65,2.42,Andesite
49.89,9.2,3.8,4.57,9.31,5.34,2.95,0.39,Quartz
57.33,6.24,3.93,2.5,3.92,0.8,2.24,2.44,Serpentine
41.74,14.73,1.75,4.9,11.21,3.88,0.98,0.21,Marble
66.76,12.93,12.35,2.98,0.94,3.71,1.67,0.35,Dolomite
47.32,6.67,10.98,7.5,8.38,6.78,4.75,0.98,Amphibole
77.3,11.67,8.21,13.35,11.93,2.67,3.55,2.88,Andesite
30.19,8.06,8.42,9.73,3.78,7.03,0.54,1.1,Amphibole
65.34,14.88,2.2,6.44,1.61,1.07,4.37,2.71,Feldspar
71.91,15.72,11.88,4.83,7.73,6.01,2.32,1.79,Chlorite
61.13,6.77,12.37,2.28,10.86,2.74,3.98,2.37,Amphibolite
65.87,9.3,7.49,6.23,11.44,0.96,2.17,1.09,Marble
64.32,24.33,13.56,2.31,10.12,6.38,2.75,2.05,Olivine
64.83,11.23,13.51,10.31,4.27,5.14,3.27,1.23,Syenite
66.65,11.36,8.48,3.23,1.59,2.79,2.19,0.22,Serpentine
79.23,5.96,6.14,14.05,4.92,2.39,1.02,0.67,Olivine
37.45,20.02,8.71,10.01,0.91,7.3,2.73,2.1,Olivine
44.8,5.11,10.55,3.8,10.89,7.49,2.87,0.22,Chlorite
39.13,16.39,12.01,4.46,11.49,3.36,4.02,1.44,Pyroxene
45.87,19.16,9.8,2.15,7.0,0.82,3.66,1.6,Andesite
45.69,21.15,6.02,13.07,2.34,3.95,3.41,2.38,Serpentine
53.33,24.97,12.16,3.85,8.87,3.36,1.23,2.12,Rhyolite
62.55,11.72,5.9,8.2,5.75,0.58,1.16,1.87,Chlorite
70.4,18.55,2.27,8.88,2.06,6.47,2.03,2.87,Chlorite
58.09,15.12,14.26,12.48,9.65,3.03,3.83,0.54,Feldspar
79.49,16.1,10.46,13.08,2.79,5.69,2.39,0.54,Olivine
66.74,9.08,8.48,5.34,5.49,0.93,2.51,1.26,Syenite
59.42,12.66,7.5,14.3,6.08,4.36,3.64,1.23,Amphibolite
77.14,15.09,12.35,3.32,3.79,1.84,2.13,2.56,Mica
45.59,23.69,4.1,8.35,11.46,7.29,3.84,2.4,Chlorite
65.82,6.94,14.69,11.18,9.86,1.28,2.1,1.08,Granite
76.1,22.46,7.75,1.47,8.46,6.13,2.57,1.52,Dolomite
50.12,5.66,14.46,12.42,2.82,7.56,4.57,1.43,Olivine
66.01,6.65,14.94,11.41,11.03,1.28,3.8,1.2,Chlorite
67.68,24.0,14.32,13.94,2.4,3.46,0.97,0.21,Andesite
51.8,13.01,6.63,12.34,9.65,2.7,0.66,1.38,Talc
62.27,19.57,9.38,4.68,1.54,2.5,1.65,1.19,Slate
46.81,16.45,1.37,11.14,4.9,1.3,0.51,2.48,Feldspar
44.24,20.53,7.77,11.26,1.29,4.73,2.39,0.91,Dolomite
64.75,11.59,6.21,4.01,8.49,7.76,2.33,2.71,Pyroxene
57.55,20.1,5.73,10.97,4.57,0.55,2.68,2.71,Amphibolite
56.2,6.85,8.67,8.82,7.96,4.58,0.76,0.58,Serpentine
76.75,24.24,12.02,3.24,1.14,7.59,4.23,1.73,Granite
58.82,6.93,2.86,12.48,6.72,0.79,1.34,1.77,Peridotite
32.3,17.47,10.45,4.42,4.59,5.06,2.26,2.92,Peridotite
71.36,9.27,2.03,9.05,8.02,1.66,0.78,2.8,Mica
67.65,14.79,10.77,2.69,10.64,7.68,4.86,1.77,Chlorite
71.5,7.0,3.86,8.94,2.73,7.11,2.09,1.48,Granite
33.5,21.28,10.29,11.11,9.78,7.22,4.57,0.22,Serpentine
73.34,5.83,8.12,1.81,10.0,7.92,0.58,0.5,Chlorite
79.11,5.83,10.58,12.98,10.85,3.23,0.75,0.79,Marble
76.36,21.76,6.73,9.64,4.82,5.71,2.3,0.89,Basalt
77.84,9.99,11.35,8.43,0.55,2.92,4.17,1.95,Mica
71.7,12.31,9.26,14.86,9.1,1.86,3.96,1.41,Syenite
51.82,12.54,6.12,7.45,8.49,0.99,0.73,2.92,Slate
32.03,14.54,1.82,7.31,9.76,3.87,3.91,1.14,Peridotite
37.02,8.81,5.11,12.41,4.48,2.25,4.85,2.4,Rhyolite
66.63,23.72,11.1,3.08,2.46,6.67,2.97,0.66,Feldspar
79.8,9.86,9.4,13.23,9.8,4.22,2.98,2.09,Rhyolite
78.71,14.5,8.88,7.99,8.65,7.22,4.83,2.15,Serpentine
51.06,14.13,5.32,7.83,1.34,2.61,0.54,2.21,Amphibole
77.69,13.3,3.79,5.15,1.76,5.11,3.43,1.02,Mica
53.02,8.48,14.66,4.09,11.74,6.11,2.8,0.58,Mica
56.43,20.58,5.41,14.03,0.56,7.5,2.07,0.82,Gabbro
78.77,16.15,11.3,10.48,11.93,1.59,3.96,1.3,Quartz
51.36,10.71,3.71,5.23,0.56,2.91,2.41,0.7,Chlorite
51.87,22.44,1.82,6.82,10.01,5.53,1.09,0.21,Andesite
45.96,15.14,6.31,10.33,6.02,2.05,1.12,2.0,Mica
52.44,9.68,6.22,5.12,4.71,6.12,2.35,2.69,Andesite
57.62,9.03,8.96,1.51,9.64,1.9,4.69,2.62,Olivine
31.06,14.57,8.77,5.34,3.07,3.04,2.86,2.29,Mica
52.87,12.02,9.71,10.49,0.77,3.7,4.59,1.51,Serpentine
45.13,11.94,13.15,13.53,2.34,3.27,2.72,2.09,Basalt
39.91,14.58,12.16,8.98,11.23,5.85,1.11,1.41,Peridotite
40.94,17.97,12.2,3.2,10.36,2.13,3.48,0.78,Feldspar
56.03,18.63,11.86,4.45,5.93,7.18,2.33,2.59,Slate
78.41,14.85,5.76,8.77,11.69,7.55,4.46,0.74,Dolomite
78.91,22.63,7.32,11.94,1.32,4.46,4.17,1.21,Pyroxene
74.59,8.37,14.53,11.73,4.26,6.05,2.2,2.83,Peridotite
53.07,8.6,3.59,14.24,6.87,0.93,4.92,1.68,Quartz
31.72,14.95,11.81,7.17,4.12,2.15,3.15,1.81,Andesite
34.07,17.0,8.64,5.46,1.9,6.33,3.16,1.28,Quartz
38.12,9.97,12.96,1.57,2.22,5.6,1.67,0.86,Marble
64.96,13.95,9.12,12.74,7.85,4.52,3.71,1.79,Quartz
56.6,13.31,3.51,8.42,9.12,1.13,3.02,0.46,Quartz
62.63,6.69,7.44,5.88,2.16,1.05,0.53,2.62,Dolomite
32.81,12.13,5.69,12.16,2.99,4.15,1.12,1.23,Rhyolite
57.66,5.52,14.33,6.32,11.16,4.19,2.54,1.94,Mica
42.14,23.62,9.09,10.53,6.07,1.54,1.69,1.14,Serpentine
33.06,10.83,5.81,5.84,11.31,6.94,1.41,0.21,Olivine
62.28,13.45,13.31,2.15,7.07,4.33,2.86,1.38,Granite
79.22,20.39,3.54,1.17,8.1,2.69,0.52,1.18,Basalt
67.56,21.4,14.19,6.23,11.42,4.32,0.94,1.45,Chlorite
79.58,24.98,14.02,12.41,1.11,1.02,4.19,2.39,Peridotite
48.94,19.52,14.1,6.81,6.41,2.32,4.87,0.39,Gabbro
77.95,16.03,14.5,3.7,6.39,5.36,4.51,2.56,Gabbro
71.78,23.77,9.89,11.75,2.82,5.11,1.61,1.67,Rhyolite
79.43,9.96,3.98,6.38,6.68,5.73,3.78,2.64,Serpentine
53.71,19.93,5.97,1.68,2.46,7.47,4.1,0.61,Serpentine
48.84,14.82,1.57,10.11,11.23,1.31,0.8,1.47,Amphibolite
34.01,17.63,10.0,13.29,3.63,4.61,1.43,0.71,Syenite
59.15,5.93,7.03,3.56,8.09,5.98,1.27,2.71,Pyroxene
60.45,13.18,1.96,7.36,8.94,5.69,2.15,2.15,Syenite
72.38,9.96,8.36,11.59,7.39,2.91,1.22,1.08,Amphibolite
37.52,10.1,1.48,4.97,9.49,1.12,0.65,2.15,Amphibole
57.42,12.33,13.14,12.31,4.41,2.42,1.61,1.04,Mica
75.18,10.24,13.29,8.78,9.53,4.56,0.91,2.82,Marble
77.03,11.12,4.14,11.59,10.32,2.92,2.85,0.98,Mica
48.3,5.53,11.68,1.56,2.11,6.64,4.05,2.12,Serpentine
59.95,14.79,8.84,9.62,1.21,6.23,4.47,0.76,Amphibolite
37.39,20.23,12.66,13.51,9.74,7.27,4.67,2.28,Rhyolite
35.03,11.9,8.17,3.17,8.48,5.12,3.87,0.6,Quartz
59.7,18.72,14.6,3.56,0.69,4.47,4.1,0.65,Dolomite
39.03,23.31,14.87,13.79,6.21,4.11,2.71,2.68,Peridotite
53.31,15.79,6.8,3.16,3.25,2.37,4.11,0.38,Slate
76.52,13.98,4.68,8.4,2.27,6.35,4.19,1.27,Granite
42.28,10.98,13.46,12.4,1.16,1.06,2.08,1.81,Andesite
71.67,20.51,11.86,10.32,7.13,0.87,3.93,0.89,Slate
34.37,22.97,4.21,3.88,7.46,5.58,1.02,2.84,Dolomite
72.55,13.26,8.14,9.48,9.44,4.62,4.06,2.02,Marble
44.17,11.77,12.02,12.78,7.74,7.03,2.22,0.96,Pyroxene
34.86,23.17,11.33,7.12,7.65,7.5,2.01,1.42,Chlorite
75.46,5.41,4.52,14.05,1.58,1.98,1.06,2.06,Peridotite
44.76,20.44,11.84,4.08,8.48,7.89,4.36,0.29,Serpentine
68.83,6.15,11.84,13.34,11.33,2.14,0.76,2.51,Talc
72.02,10.88,12.06,12.11,8.07,4.19,1.11,2.1,Andesite
31.91,12.45,10.58,9.3,6.97,4.29,3.7,0.71,Serpentine
43.97,12.98,11.1,6.03,2.14,4.9,1.77,2.33,Marble
31.63,14.41,8.57,2.63,3.32,4.75,4.66,1.75,Marble
53.57,13.6,1.45,7.56,6.4,3.81,0.79,1.1,Gabbro
66.4,13.91,8.89,9.45,11.98,4.03,2.15,1.64,Amphibolite
33.86,14.62,14.31,9.02,2.67,6.69,3.79,2.77,Feldspar
58.79,9.25,9.27,4.45,5.34,5.38,4.64,0.91,Quartz
55.53,19.12,10.28,1.45,3.68,5.38,2.95,2.69,Syenite
44.67,19.86,13.2,1.85,1.12,0.54,1.69,2.78,Peridotite
51.06,13.64,8.4,7.22,3.45,1.86,2.56,2.36,Amphibole
53.96,6.29,10.49,4.39,5.19,2.78,2.54,1.73,Feldspar
58.73,12.19,3.54,6.15,0.75,0.69,3.47,2.07,Amphibole
35.19,12.39,13.49,3.8,7.23,3.76,2.54,1.17,Feldspar
75.34,7.1,2.75,9.04,1.41,6.0,4.3,2.88,Dolomite
54.86,5.52,12.17,1.5,10.62,5.25,4.43,1.42,Slate
49.85,11.74,14.58,12.64,2.01,3.02,2.24,0.75,Peridotite
39.27,20.59,14.99,3.25,5.31,2.46,3.94,0.99,Granite
76.64,22.34,9.71,11.24,5.87,2.43,3.63,1.58,Andesite
53.2,14.87,10.29,12.0,3.81,3.51,4.05,1.81,Gabbro
77.1,24.86,1.48,4.72,4.48,3.09,3.48,0.96,Mica
69.13,7.52,3.28,2.47,7.42,1.82,3.58,2.17,Slate
57.65,18.76,11.22,11.16,11.6,6.69,4.14,1.59,Slate
31.23,11.59,1.01,4.75,5.37,5.24,0.8,2.47,Quartz
36.58,7.48,13.91,2.0,4.61,5.54,4.44,0.39,Peridotite
61.21,6.19,9.26,14.55,8.05,2.01,2.34,1.18,Feldspar
55.12,8.61,2.15,4.91,7.02,2.87,0.97,2.54,Granite
40.59,15.21,9.65,12.4,9.25,1.44,3.34,2.63,Olivine
76.79,23.23,5.85,10.33,9.0,6.35,4.16,2.7,Serpentine
48.56,23.92,7.06,11.32,4.7,5.86,0.68,2.09,Amphibole
76.5,12.01,7.56,9.81,11.67,4.07,0.74,0.97,Pyroxene
69.73,17.74,8.56,5.8,5.63,1.15,4.1,1.57,Feldspar
73.36,10.57,14.77,12.28,3.82,6.1,1.47,0.65,Feldspar
41.67,21.26,6.56,1.63,6.44,7.67,3.46,1.18,Quartz
52.06,10.92,10.82,3.04,9.83,4.59,2.48,1.8,Amphibolite
38.37,20.65,9.99,5.22,2.12,0.83,0.66,1.14,Granite
75.84,18.9,7.26,2.29,8.57,0.52,1.08,1.84,Mica
51.84,17.06,7.34,14.92,4.48,7.96,2.88,1.91,Marble
35.46,18.38,14.54,14.63,7.55,3.98,3.64,1.64,Granite
54.01,21.74,6.34,8.21,4.92,2.49,4.71,0.6,Amphibolite
58.45,21.44,1.4,7.09,3.29,5.55,4.88,2.01,Marble
74.09,11.91,8.23,3.78,4.79,1.63,2.43,1.49,Dolomite
31.93,13.03,6.62,5.75,8.05,7.22,2.63,1.97,Rhyolite
54.08,18.15,9.84,3.18,5.55,1.47,0.71,0.36,Mica
60.21,12.08,1.4,5.42,8.88,6.1,0.9,0.84,Mica
62.19,5.02,10.22,14.99,4.0,4.38,4.84,0.89,Pyroxene
60.82,21.02,2.95,9.77,8.38,4.13,1.38,0.64,Andesite
32.45,14.47,12.51,10.45,2.76,4.01,1.89,0.83,Slate
58.98,15.17,10.78,2.95,4.85,6.32,0.51,1.83,Peridotite
62.05,21.56,3.6,3.44,9.41,1.01,1.3,0.76,Serpentine
77.79,16.19,3.72,7.12,3.14,2.6,1.71,2.47,Syenite
32.67,22.32,12.13,13.67,11.53,4.46,0.74,0.56,Dolomite
70.08,24.9,10.66,14.84,8.14,0.6,4.22,0.3,Quartz
74.03,18.58,8.15,10.39,0.99,6.53,2.25,0.76,Marble
53.99,13.29,10.82,9.59,8.32,3.06,3.55,1.89,Quartz
40.72,6.37,11.49,5.73,5.15,1.13,2.35,1.62,Basalt
75.94,7.35,7.98,3.88,10.39,4.48,4.44,2.64,Mica
76.13,15.76,14.14,1.91,10.94,6.72,2.34,2.27,Granite
44.14,12.34,11.1,4.4,7.21,3.06,1.11,2.71,Peridotite
58.03,13.93,3.15,13.97,2.34,6.99,1.2,2.34,Amphibole
58.08,17.99,2.22,6.91,3.42,2.76,4.44,1.15,Mica
71.45,24.16,13.95,4.87,2.98,5.77,2.3,2.58,Peridotite
76.21,11.78,14.52,6.88,3.87,1.89,1.27,0.76,Rhyolite
34.48,8.45,4.18,6.75,7.92,6.27,3.71,2.52,Granite
79.07,8.87,7.13,6.62,1.26,4.4,2.33,1.15,Peridotite
30.29,23.51,9.84,14.68,2.49,7.5,3.62,2.15,Talc
76.0,9.07,2.41,8.2,0.99,0.76,0.93,0.47,Quartz
67.2,11.08,11.51,9.32,5.04,5.28,4.58,1.31,Talc
67.6,9.42,3.11,9.99,6.46,3.69,2.77,0.96,Gabbro
46.22,13.66,10.29,11.6,2.6,4.08,1.14,1.93,Talc
49.51,22.71,8.87,4.3,7.93,3.26,3.86,2.49,Peridotite
78.64,18.05,1.21,9.72,6.16,5.99,1.04,2.12,Marble
42.93,8.84,1.18,4.97,1.3,3.0,3.59,0.52,Basalt
45.42,5.55,6.68,8.72,5.24,4.72,3.56,2.88,Rhyolite
35.59,21.46,2.61,9.61,5.37,6.7,1.63,1.89,Dolomite
59.77,16.46,4.94,12.75,10.03,7.93,4.15,0.45,Dolomite
72.37,10.63,3.15,13.01,5.11,2.27,2.49,0.37,Talc
73.0,10.79,10.54,1.39,5.03,5.5,1.85,2.78,Marble
47.54,11.87,5.39,4.24,7.23,5.55,2.09,0.97,Mica
34.95,16.86,12.11,4.32,9.86,5.09,0.84,0.33,Quartz
76.16,7.31,12.49,6.74,6.58,4.07,3.52,2.87,Serpentine
79.06,13.95,5.03,10.24,4.9,5.73,0.68,0.87,Mica
69.54,15.28,13.51,1.77,3.43,4.02,2.84,1.56,Slate
60.71,17.95,4.42,5.15,1.59,2.42,4.54,2.42,Feldspar
75.94,9.29,12.13,1.37,7.72,1.8,1.23,1.85,Marble
53.52,8.6,14.34,13.23,7.85,2.14,1.6,1.63,Slate
56.55,10.54,5.29,3.54,9.38,0.52,0.88,2.29,Feldspar
33.65,5.24,1.17,7.72,7.49,7.61,2.15,1.53,Syenite
69.28,14.03,8.08,14.58,3.33,1.43,2.26,0.88,Pyroxene
40.95,15.55,2.24,14.01,3.32,3.6,0.71,2.28,Andesite
53.68,17.57,1.08,1.06,7.86,4.63,3.33,2.34,Mica
42.42,13.76,13.29,9.48,10.61,1.94,4.87,2.36,Gabbro
52.25,7.82,1.28,7.54,10.67,7.13,1.94,0.48,Basalt
60.37,8.55,12.48,5.59,11.75,5.59,2.53,2.18,Olivine
41.0,13.51,9.86,3.55,8.69,4.13,1.23,0.29,Syenite
72.68,20.57,10.26,1.87,3.69,6.2,4.07,1.96,Dolomite
64.54,23.95,9.9,11.28,0.64,0.7,2.96,1.07,Mica
71.52,11.2,10.04,12.6,3.33,4.76,2.22,2.46,Chlorite
30.06,23.56,7.71,6.59,10.52,4.36,4.64,1.54,Andesite
46.21,20.29,12.01,9.87,2.99,1.86,3.72,1.01,Amphibolite
78.66,13.83,1.89,7.48,8.99,1.41,4.32,1.45,Quartz
76.63,20.24,7.84,9.44,2.49,1.81,0.69,0.61,Pyroxene
40.57,19.82,9.26,12.24,3.85,1.69,3.94,0.36,Feldspar
39.84,20.35,7.14,4.87,2.86,1.02,2.97,2.22,Slate
62.5,24.68,7.31,11.71,7.12,5.35,2.73,1.32,Peridotite
62.16,8.71,9.24,3.79,9.08,4.98,0.96,0.41,Olivine
31.83,9.2,2.93,1.63,7.08,6.69,4.65,0.86,Granite
79.44,20.37,8.71,6.87,11.86,2.1,4.33,2.5,Syenite
66.05,16.98,1.33,12.22,3.14,7.26,4.69,2.85,Gabbro
71.74,10.75,13.68,12.53,9.13,5.8,4.43,1.45,Feldspar
68.98,17.78,2.69,7.56,3.65,1.01,3.99,1.15,Marble
37.01,12.95,11.19,4.81,4.73,6.67,1.18,0.76,Serpentine
56.46,17.82,8.6,12.19,1.86,2.4,3.17,2.4,Serpentine
32.91,8.85,13.86,1.67,7.83,2.23,3.43,1.08,Syenite
49.83,24.14,14.06,2.97,5.88,3.52,3.46,0.94,Quartz
64.62,18.5,1.86,1.32,11.47,6.46,4.29,2.53,Dolomite
58.23,20.56,11.27,11.06,9.77,6.94,2.38,2.38,Serpentine
53.36,8.05,1.07,1.71,6.47,1.15,3.81,0.85,Olivine
65.31,9.86,6.48,14.15,4.26,3.42,0.78,1.62,Amphibolite
57.05,16.29,9.29,7.64,4.35,1.69,1.74,1.68,Mica
77.62,20.31,8.1,1.57,1.22,0.53,4.68,2.17,Pyroxene
71.09,7.01,9.69,5.26,10.73,6.41,1.94,0.55,Syenite
46.67,7.65,8.65,2.68,0.72,1.24,4.95,2.49,Mica
67.62,23.98,1.58,8.96,4.01,6.18,3.21,1.1,Pyroxene
62.42,10.52,3.27,2.31,8.96,4.28,2.6,0.63,Dolomite
60.77,19.55,14.26,2.16,0.51,6.33,2.02,0.74,Basalt
43.28,15.81,14.09,4.64,1.48,3.85,3.71,1.85,Dolomite
34.58,14.93,5.46,8.3,2.2,3.22,4.59,1.02,Talc
42.14,17.98,8.5,14.96,9.96,2.1,0.64,1.35,Pyroxene
31.1,8.16,1.57,1.95,6.53,3.88,3.16,0.32,Andesite
56.49,17.2,2.06,11.53,7.69,3.76,3.29,2.36,Syenite
76.76,17.68,9.23,8.25,2.51,7.88,3.11,1.03,Quartz
55.45,5.3,10.84,14.23,10.41,6.54,2.29,2.92,Dolomite
70.24,7.9,12.58,13.59,4.0,6.25,3.62,1.52,Dolomite
50.08,19.91,11.39,4.06,10.04,3.09,3.4,2.65,Feldspar
70.36,20.16,12.63,8.24,11.59,2.64,4.74,1.11,Feldspar
37.73,22.82,12.41,2.37,10.61,0.66,3.51,2.97,Rhyolite
32.46,6.98,6.09,8.78,10.19,2.42,0.74,1.28,Andesite
55.97,20.99,9.2,7.1,6.51,6.04,4.42,0.43,Pyroxene
43.7,17.44,6.04,2.5,10.86,2.11,4.65,0.64,Serpentine
61.02,8.95,9.46,3.58,5.88,4.0,0.6,2.9,Dolomite
69.09,10.47,12.28,9.24,10.15,1.11,0.63,1.52,Syenite
36.14,11.64,14.82,1.74,9.16,3.52,2.67,1.06,Talc
41.15,8.43,7.07,8.35,10.83,6.39,3.72,1.53,Serpentine
74.63,13.9,9.16,8.41,2.25,4.93,2.37,1.68,Syenite
37.26,12.83,13.22,1.12,3.95,2.12,3.25,2.41,Peridotite
42.63,7.35,7.68,13.99,11.15,3.05,0.61,1.1,Marble
33.66,24.02,1.54,7.12,3.87,1.41,1.28,2.61,Serpentine
79.9,10.3,5.7,1.08,9.02,2.67,2.56,2.78,Granite
51.65,7.57,14.99,10.18,1.52,6.29,1.63,1.01,Quartz
78.47,13.21,10.43,13.77,10.89,6.42,2.33,1.21,Gabbro
31.17,20.91,7.76,11.82,5.89,4.41,4.84,2.22,Syenite
52.24,21.53,9.69,11.49,6.55,6.64,2.77,2.08,Olivine
72.41,9.52,6.8,3.0,4.59,3.69,2.6,0.97,Feldspar
69.87,13.31,5.81,12.62,11.08,6.71,1.08,2.97,Amphibole
31.23,23.82,3.7,9.04,7.9,1.74,2.68,2.17,Peridotite
37.78,22.44,10.79,6.37,10.19,3.86,0.91,0.21,Quartz
57.32,24.62,10.13,2.85,0.55,0.65,2.26,2.57,Granite
58.75,5.48,13.42,5.9,8.06,2.57,2.26,1.78,Slate
37.51,23.97,6.88,9.03,11.54,6.2,3.9,1.12,Syenite
78.31,12.52,1.59,5.43,4.6,6.72,0.65,1.27,Feldspar
78.51,11.25,8.71,8.99,6.74,5.54,2.91,2.65,Syenite
58.02,22.64,12.17,2.39,2.47,0.52,1.95,1.97,Serpentine
61.61,24.7,3.93,7.18,7.14,6.72,0.76,0.63,Andesite
44.75,13.06,2.79,1.43,0.7,4.24,3.65,1.01,Dolomite
64.42,24.93,4.69,8.12,1.77,7.47,3.72,1.46,Amphibolite
66.39,12.22,4.28,11.29,9.21,6.27,3.24,2.37,Mica
42.02,18.81,13.49,4.81,1.59,3.42,0.61,0.78,Amphibolite
74.03,5.38,4.44,11.96,4.06,6.19,3.99,2.17,Syenite
31.31,13.96,6.86,11.8,2.06,1.32,4.76,1.67,Mica
41.45,24.68,12.8,1.53,3.86,3.01,3.05,1.58,Olivine
77.7,19.33,10.59,3.93,5.69,1.45,1.29,1.45,Marble
79.24,16.95,4.1,13.35,1.21,7.31,1.5,0.98,Feldspar
44.53,12.47,12.02,14.68,11.01,4.6,1.64,2.31,Serpentine
45.42,9.39,13.97,3.06,3.42,1.93,2.95,2.48,Granite
67.77,23.8,3.92,2.47,5.58,6.46,2.98,2.97,Quartz
74.36,19.83,10.86,4.14,6.08,5.07,1.92,2.88,Talc
78.79,14.58,2.26,8.64,4.27,5.3,2.01,2.33,Peridotite
45.13,12.93,4.01,5.62,7.37,6.34,1.08,0.39,Olivine
71.67,23.53,4.84,8.74,2.55,5.29,3.85,2.62,Serpentine
48.4,14.05,3.64,9.37,6.16,6.44,2.78,0.39,Rhyolite
74.2,5.76,9.04,7.35,6.55,6.35,4.89,2.14,Chlorite
36.75,23.45,7.94,8.87,3.43,7.15,4.49,0.75,Talc
67.21,7.32,8.72,13.71,1.84,7.36,4.21,0.81,Slate
51.68,5.61,3.42,12.39,11.51,0.82,2.41,1.05,Quartz
76.83,16.33,7.21,10.61,6.32,6.72,2.09,0.51,Basalt
39.24,14.48,14.41,1.47,5.07,2.34,3.86,0.77,Quartz
63.1,5.96,7.1,5.69,1.68,0.75,4.93,1.38,Peridotite
34.48,15.51,1.65,9.21,4.31,3.0,4.4,0.86,Amphibole
64.19,10.73,2.5,8.75,11.85,1.54,1.6,1.63,Serpentine
45.29,11.72,13.18,2.94,1.44,4.62,3.09,0.89,Granite
57.95,17.18,14.49,10.45,3.12,6.0,0.55,1.58,Chlorite
57.29,5.06,10.86,9.46,8.87,2.27,4.99,2.11,Dolomite
41.71,15.28,9.26,5.75,3.65,5.39,0.95,2.27,Amphibolite
70.03,18.94,5.28,2.68,5.28,4.71,0.68,0.75,Amphibolite
65.89,15.26,4.53,1.4,11.09,6.9,1.37,2.56,Amphibole
58.87,7.44,9.32,6.27,2.69,5.1,4.73,1.99,Amphibolite
42.82,19.87,6.31,11.86,5.38,3.38,2.06,2.68,Slate
30.98,13.58,1.46,8.78,7.63,6.65,0.64,2.32,Feldspar
62.3,9.58,9.77,2.27,7.37,4.9,1.61,0.23,Olivine
31.94,17.62,13.25,4.3,10.92,5.92,1.74,1.26,Andesite
54.14,6.7,8.71,2.69,11.15,0.64,1.56,2.61,Serpentine
46.88,15.23,13.14,13.58,8.87,7.66,0.55,2.36,Dolomite
70.18,10.02,6.26,14.99,6.47,5.47,0.53,1.5,Chlorite
